query_id	doc_id	relevance
Q000048	D000243	2
Q000048	D000242	1
Q000049	D000257	3
Q000049	D000259	1
Q000050	D000258	3
Q000050	D000257	2
Q000050	D000259	1
Q000051	D000257	2
Q000051	D000259	2
Q000051	D000258	1
Q000052	D000273	3
Q000052	D000275	1
Q000053	D000274	3
Q000053	D000273	2
Q000053	D000275	1
Q000054	D000273	2
Q000054	D000275	2
Q000054	D000274	1
Q000055	D000289	3
Q000055	D000291	1
Q000056	D000290	3
Q000056	D000289	2
Q000056	D000291	1
Q000057	D000289	2
Q000057	D000291	2
Q000057	D000290	1
Q000058	D000305	3
Q000058	D000307	1
Q000059	D000306	3
Q000059	D000305	2
Q000059	D000307	1
Q000060	D000305	2
Q000060	D000307	2
Q000060	D000306	1
Q000061	D000321	3
Q000061	D000323	1
Q000062	D000322	3
Q000062	D000321	2
Q000062	D000323	1
Q000063	D000321	2
Q000063	D000323	2
Q000063	D000322	1
Q000064	D000337	3
Q000064	D000339	1
Q000065	D000338	3
Q000065	D000337	2
Q000065	D000339	1
Q000066	D000337	2
Q000066	D000339	2
Q000066	D000338	1
Q000067	D000353	3
Q000067	D000355	1
Q000068	D000354	3
Q000068	D000353	2
Q000068	D000355	1
Q000069	D000353	2
Q000069	D000355	2
Q000069	D000354	1
Q000070	D000369	3
Q000070	D000371	1
Q000071	D000370	3
Q000071	D000369	2
Q000071	D000371	1
Q000072	D000369	2
Q000072	D000371	2
Q000072	D000370	1
Q000073	D000385	3
Q000073	D000387	1
Q000074	D000386	3
Q000074	D000385	2
Q000074	D000387	1
Q000075	D000385	2
Q000075	D000387	2
Q000075	D000386	1
Q000076	D000401	3
Q000076	D000403	1
Q000077	D000402	3
Q000077	D000401	2
Q000077	D000403	1
Q000078	D000401	2
Q000078	D000403	2
Q000078	D000402	1
Q000079	D000417	3
Q000079	D000419	1
Q000080	D000418	3
Q000080	D000417	2
Q000080	D000419	1
Q000081	D000417	2
Q000081	D000419	2
Q000081	D000418	1
Q000082	D000433	3
Q000082	D000435	1
Q000083	D000434	3
Q000083	D000433	2
Q000083	D000435	1
Q000084	D000433	2
Q000084	D000435	2
Q000084	D000434	1
Q000085	D000449	3
Q000085	D000451	1
Q000086	D000450	3
Q000086	D000449	2
Q000086	D000451	1
Q000087	D000449	2
Q000087	D000451	2
Q000087	D000450	1
Q000088	D000465	3
Q000088	D000467	1
Q000089	D000466	3
Q000089	D000465	2
Q000089	D000467	1
Q000090	D000465	2
Q000090	D000467	2
Q000090	D000466	1
Q000091	D000481	3
Q000091	D000483	1
Q000092	D000482	3
Q000092	D000481	2
Q000092	D000483	1
Q000093	D000481	2
Q000093	D000483	2
Q000093	D000482	1
Q000094	D000497	3
Q000094	D000499	1
Q000095	D000498	3
Q000095	D000497	2
Q000095	D000499	1
Q000096	D000497	2
Q000096	D000499	2
Q000096	D000498	1
Q000097	D000513	3
Q000097	D000515	1
Q000098	D000514	3
Q000098	D000513	2
Q000098	D000515	1
Q000099	D000513	2
Q000099	D000515	2
Q000099	D000514	1
Q000100	D000529	3
Q000100	D000531	1
Q000101	D000530	3
Q000101	D000529	2
Q000101	D000531	1
Q000102	D000529	2
Q000102	D000531	2
Q000102	D000530	1
Q000103	D000545	3
Q000103	D000547	1
Q000104	D000546	3
Q000104	D000545	2
Q000104	D000547	1
Q000105	D000545	2
Q000105	D000547	2
Q000105	D000546	1
Q000106	D000561	3
Q000106	D000563	1
Q000107	D000562	3
Q000107	D000561	2
Q000107	D000563	1
Q000108	D000561	2
Q000108	D000563	2
Q000108	D000562	1
Q000109	D000577	3
Q000109	D000579	1
Q000110	D000578	3
Q000110	D000577	2
Q000110	D000579	1
Q000111	D000577	2
Q000111	D000579	2
Q000111	D000578	1
Q000112	D000593	3
Q000112	D000595	1
Q000113	D000594	3
Q000113	D000593	2
Q000113	D000595	1
Q000114	D000593	2
Q000114	D000595	2
Q000114	D000594	1
Q000115	D000609	3
Q000115	D000611	1
Q000116	D000610	3
Q000116	D000609	2
Q000116	D000611	1
Q000117	D000609	2
Q000117	D000611	2
Q000117	D000610	1
Q000118	D000625	3
Q000118	D000627	1
Q000119	D000626	3
Q000119	D000625	2
Q000119	D000627	1
Q000120	D000625	2
Q000120	D000627	2
Q000120	D000626	1
Q000121	D000641	3
Q000121	D000643	1
Q000122	D000642	3
Q000122	D000641	2
Q000122	D000643	1
Q000123	D000641	2
Q000123	D000643	2
Q000123	D000642	1
Q000124	D000657	3
Q000124	D000659	1
Q000125	D000658	3
Q000125	D000657	2
Q000125	D000659	1
Q000126	D000657	2
Q000126	D000659	2
Q000126	D000658	1
Q000127	D000673	3
Q000127	D000675	1
Q000128	D000674	3
Q000128	D000673	2
Q000128	D000675	1
Q000129	D000673	2
Q000129	D000675	2
Q000129	D000674	1
Q000130	D000689	3
Q000130	D000691	1
Q000131	D000690	3
Q000131	D000689	2
Q000131	D000691	1
Q000132	D000689	2
Q000132	D000691	2
Q000132	D000690	1
Q000133	D000705	3
Q000133	D000707	1
Q000134	D000706	3
Q000134	D000705	2
Q000134	D000707	1
Q000135	D000705	2
Q000135	D000707	2
Q000135	D000706	1
Q000136	D000721	3
Q000136	D000723	1
Q000137	D000722	3
Q000137	D000721	2
Q000137	D000723	1
Q000138	D000721	2
Q000138	D000723	2
Q000138	D000722	1
Q000139	D000737	3
Q000139	D000739	1
Q000140	D000738	3
Q000140	D000737	2
Q000140	D000739	1
Q000141	D000737	2
Q000141	D000739	2
Q000141	D000738	1
Q000142	D000753	3
Q000142	D000755	1
Q000143	D000754	3
Q000143	D000753	2
Q000143	D000755	1
Q000144	D000753	2
Q000144	D000755	2
Q000144	D000754	1
Q000145	D000769	3
Q000145	D000771	1
Q000146	D000770	3
Q000146	D000769	2
Q000146	D000771	1
Q000147	D000769	2
Q000147	D000771	2
Q000147	D000770	1
Q000148	D000785	3
Q000148	D000787	1
Q000149	D000786	3
Q000149	D000785	2
Q000149	D000787	1
Q000150	D000785	2
Q000150	D000787	2
Q000150	D000786	1
Q000151	D000801	3
Q000151	D000803	1
Q000152	D000802	3
Q000152	D000801	2
Q000152	D000803	1
Q000153	D000801	2
Q000153	D000803	2
Q000153	D000802	1
Q000154	D000817	3
Q000154	D000819	1
Q000155	D000818	3
Q000155	D000817	2
Q000155	D000819	1
Q000156	D000817	2
Q000156	D000819	2
Q000156	D000818	1
Q000157	D000833	3
Q000157	D000835	1
Q000158	D000834	3
Q000158	D000833	2
Q000158	D000835	1
Q000159	D000833	2
Q000159	D000835	2
Q000159	D000834	1
Q000160	D000849	3
Q000160	D000851	1
Q000161	D000850	3
Q000161	D000849	2
Q000161	D000851	1
Q000162	D000849	2
Q000162	D000851	2
Q000162	D000850	1
Q000163	D000865	3
Q000163	D000867	1
Q000164	D000866	3
Q000164	D000865	2
Q000164	D000867	1
Q000165	D000865	2
Q000165	D000867	2
Q000165	D000866	1
Q000166	D000881	3
Q000166	D000883	1
Q000167	D000882	3
Q000167	D000881	2
Q000167	D000883	1
Q000168	D000881	2
Q000168	D000883	2
Q000168	D000882	1
Q000169	D000897	3
Q000169	D000899	1
Q000170	D000898	3
Q000170	D000897	2
Q000170	D000899	1
Q000171	D000897	2
Q000171	D000899	2
Q000171	D000898	1
Q000172	D000913	3
Q000172	D000915	1
Q000173	D000914	3
Q000173	D000913	2
Q000173	D000915	1
Q000174	D000913	2
Q000174	D000915	2
Q000174	D000914	1
Q000175	D000929	3
Q000175	D000931	1
Q000176	D000930	3
Q000176	D000929	2
Q000176	D000931	1
Q000177	D000929	2
Q000177	D000931	2
Q000177	D000930	1
Q000178	D000945	3
Q000178	D000947	1
Q000179	D000946	3
Q000179	D000945	2
Q000179	D000947	1
Q000180	D000945	2
Q000180	D000947	2
Q000180	D000946	1
Q000181	D000961	3
Q000181	D000963	1
Q000182	D000962	3
Q000182	D000961	2
Q000182	D000963	1
Q000183	D000961	2
Q000183	D000963	2
Q000183	D000962	1
Q000184	D000977	3
Q000184	D000979	1
Q000185	D000978	3
Q000185	D000977	2
Q000185	D000979	1
Q000186	D000977	2
Q000186	D000979	2
Q000186	D000978	1
Q000187	D000993	3
Q000187	D000995	1
Q000188	D000994	3
Q000188	D000993	2
Q000188	D000995	1
Q000189	D000993	2
Q000189	D000995	2
Q000189	D000994	1
Q000190	D001009	3
Q000190	D001011	1
Q000191	D001010	3
Q000191	D001009	2
Q000191	D001011	1
Q000192	D001009	2
Q000192	D001011	2
Q000192	D001010	1
Q000193	D001025	3
Q000193	D001027	1
Q000194	D001026	3
Q000194	D001025	2
Q000194	D001027	1
Q000195	D001025	2
Q000195	D001027	2
Q000195	D001026	1
Q000196	D001041	3
Q000196	D001043	1
Q000197	D001042	3
Q000197	D001041	2
Q000197	D001043	1
Q000198	D001041	2
Q000198	D001043	2
Q000198	D001042	1
Q000199	D001057	3
Q000199	D001059	1
Q000200	D001058	3
Q000200	D001057	2
Q000200	D001059	1
Q000201	D001057	2
Q000201	D001059	2
Q000201	D001058	1
Q000202	D001073	3
Q000202	D001075	1
Q000203	D001074	3
Q000203	D001073	2
Q000203	D001075	1
Q000204	D001073	2
Q000204	D001075	2
Q000204	D001074	1
Q000205	D001089	3
Q000205	D001091	1
Q000206	D001090	3
Q000206	D001089	2
Q000206	D001091	1
Q000207	D001089	2
Q000207	D001091	2
Q000207	D001090	1
Q000208	D001105	3
Q000208	D001107	1
Q000209	D001106	3
Q000209	D001105	2
Q000209	D001107	1
Q000210	D001105	2
Q000210	D001107	2
Q000210	D001106	1
Q000211	D001121	3
Q000211	D001123	1
Q000212	D001122	3
Q000212	D001121	2
Q000212	D001123	1
Q000213	D001121	2
Q000213	D001123	2
Q000213	D001122	1
Q000214	D001137	3
Q000214	D001139	1
Q000215	D001138	3
Q000215	D001137	2
Q000215	D001139	1
Q000216	D001137	2
Q000216	D001139	2
Q000216	D001138	1
Q000217	D001153	3
Q000217	D001155	1
Q000218	D001154	3
Q000218	D001153	2
Q000218	D001155	1
Q000219	D001153	2
Q000219	D001155	2
Q000219	D001154	1
Q000220	D001169	3
Q000220	D001171	1
Q000221	D001170	3
Q000221	D001169	2
Q000221	D001171	1
Q000222	D001169	2
Q000222	D001171	2
Q000222	D001170	1
Q000223	D001185	3
Q000223	D001187	1
Q000224	D001186	3
Q000224	D001185	2
Q000224	D001187	1
Q000225	D001185	2
Q000225	D001187	2
Q000225	D001186	1
Q000226	D001201	3
Q000226	D001203	1
Q000227	D001202	3
Q000227	D001201	2
Q000227	D001203	1
Q000228	D001201	2
Q000228	D001203	2
Q000228	D001202	1
Q000229	D001217	3
Q000229	D001219	1
Q000230	D001218	3
Q000230	D001217	2
Q000230	D001219	1
Q000231	D001217	2
Q000231	D001219	2
Q000231	D001218	1
Q000232	D001233	3
Q000232	D001235	1
Q000233	D001234	3
Q000233	D001233	2
Q000233	D001235	1
Q000234	D001233	2
Q000234	D001235	2
Q000234	D001234	1
Q000235	D001249	3
Q000235	D001251	1
Q000236	D001250	3
Q000236	D001249	2
Q000236	D001251	1
Q000237	D001249	2
Q000237	D001251	2
Q000237	D001250	1
Q000238	D001265	3
Q000238	D001267	1
Q000239	D001266	3
Q000239	D001265	2
Q000239	D001267	1
Q000240	D001265	2
Q000240	D001267	2
Q000240	D001266	1
Q000241	D001281	3
Q000241	D001283	1
Q000242	D001282	3
Q000242	D001281	2
Q000242	D001283	1
Q000243	D001281	2
Q000243	D001283	2
Q000243	D001282	1
Q000244	D001297	3
Q000244	D001299	1
Q000245	D001298	3
Q000245	D001297	2
Q000245	D001299	1
Q000246	D001297	2
Q000246	D001299	2
Q000246	D001298	1
Q000247	D001313	3
Q000247	D001315	1
Q000248	D001314	3
Q000248	D001313	2
Q000248	D001315	1
Q000249	D001313	2
Q000249	D001315	2
Q000249	D001314	1
Q000250	D001329	3
Q000250	D001331	1
Q000251	D001330	3
Q000251	D001329	2
Q000251	D001331	1
Q000252	D001329	2
Q000252	D001331	2
Q000252	D001330	1
Q000253	D001345	3
Q000253	D001347	1
Q000254	D001346	3
Q000254	D001345	2
Q000254	D001347	1
Q000255	D001345	2
Q000255	D001347	2
Q000255	D001346	1
Q000256	D001361	3
Q000256	D001363	1
Q000257	D001362	3
Q000257	D001361	2
Q000257	D001363	1
Q000258	D001361	2
Q000258	D001363	2
Q000258	D001362	1
Q000259	D001377	3
Q000259	D001379	1
Q000260	D001378	3
Q000260	D001377	2
Q000260	D001379	1
Q000261	D001377	2
Q000261	D001379	2
Q000261	D001378	1
Q000262	D001393	3
Q000262	D001395	1
Q000263	D001394	3
Q000263	D001393	2
Q000263	D001395	1
Q000264	D001393	2
Q000264	D001395	2
Q000264	D001394	1
Q000265	D001409	3
Q000265	D001411	1
Q000266	D001410	3
Q000266	D001409	2
Q000266	D001411	1
Q000267	D001409	2
Q000267	D001411	2
Q000267	D001410	1
Q000268	D001425	3
Q000268	D001427	1
Q000269	D001426	3
Q000269	D001425	2
Q000269	D001427	1
Q000270	D001425	2
Q000270	D001427	2
Q000270	D001426	1
Q000271	D001441	3
Q000271	D001443	1
Q000272	D001442	3
Q000272	D001441	2
Q000272	D001443	1
Q000273	D001441	2
Q000273	D001443	2
Q000273	D001442	1
Q000274	D001457	3
Q000274	D001459	1
Q000275	D001458	3
Q000275	D001457	2
Q000275	D001459	1
Q000276	D001457	2
Q000276	D001459	2
Q000276	D001458	1
Q000277	D001473	3
Q000277	D001475	1
Q000278	D001474	3
Q000278	D001473	2
Q000278	D001475	1
Q000279	D001473	2
Q000279	D001475	2
Q000279	D001474	1
Q000280	D001489	3
Q000280	D001491	1
Q000281	D001490	3
Q000281	D001489	2
Q000281	D001491	1
Q000282	D001489	2
Q000282	D001491	2
Q000282	D001490	1
Q000283	D001505	3
Q000283	D001507	1
Q000284	D001506	3
Q000284	D001505	2
Q000284	D001507	1
Q000285	D001505	2
Q000285	D001507	2
Q000285	D001506	1
Q000286	D001521	3
Q000286	D001523	1
Q000287	D001522	3
Q000287	D001521	2
Q000287	D001523	1
Q000288	D001521	2
Q000288	D001523	2
Q000288	D001522	1
Q000289	D001537	3
Q000289	D001539	1
Q000290	D001538	3
Q000290	D001537	2
Q000290	D001539	1
Q000291	D001537	2
Q000291	D001539	2
Q000291	D001538	1
Q000292	D001553	3
Q000292	D001555	1
Q000293	D001554	3
Q000293	D001553	2
Q000293	D001555	1
Q000294	D001553	2
Q000294	D001555	2
Q000294	D001554	1
Q000295	D001569	3
Q000295	D001571	1
Q000296	D001570	3
Q000296	D001569	2
Q000296	D001571	1
Q000297	D001569	2
Q000297	D001571	2
Q000297	D001570	1
Q000298	D001585	3
Q000298	D001587	1
Q000299	D001586	3
Q000299	D001585	2
Q000299	D001587	1
Q000300	D001585	2
Q000300	D001587	2
Q000300	D001586	1
Q000301	D001601	3
Q000301	D001603	1
Q000302	D001602	3
Q000302	D001601	2
Q000302	D001603	1
Q000303	D001601	2
Q000303	D001603	2
Q000303	D001602	1
Q000304	D001617	3
Q000304	D001619	1
Q000305	D001618	3
Q000305	D001617	2
Q000305	D001619	1
Q000306	D001617	2
Q000306	D001619	2
Q000306	D001618	1
Q000307	D001633	3
Q000307	D001635	1
Q000308	D001634	3
Q000308	D001633	2
Q000308	D001635	1
Q000309	D001633	2
Q000309	D001635	2
Q000309	D001634	1
Q000310	D001649	3
Q000310	D001651	1
Q000311	D001650	3
Q000311	D001649	2
Q000311	D001651	1
Q000312	D001649	2
Q000312	D001651	2
Q000312	D001650	1
Q000313	D001665	3
Q000313	D001667	1
Q000314	D001666	3
Q000314	D001665	2
Q000314	D001667	1
Q000315	D001665	2
Q000315	D001667	2
Q000315	D001666	1
Q000316	D001681	3
Q000316	D001683	1
Q000317	D001682	3
Q000317	D001681	2
Q000317	D001683	1
Q000318	D001681	2
Q000318	D001683	2
Q000318	D001682	1
Q000319	D001697	3
Q000319	D001699	1
Q000320	D001698	3
Q000320	D001697	2
Q000320	D001699	1
Q000321	D001697	2
Q000321	D001699	2
Q000321	D001698	1
Q000322	D001713	3
Q000322	D001715	1
Q000323	D001714	3
Q000323	D001713	2
Q000323	D001715	1
Q000324	D001713	2
Q000324	D001715	2
Q000324	D001714	1
Q000325	D001729	3
Q000325	D001731	1
Q000326	D001730	3
Q000326	D001729	2
Q000326	D001731	1
Q000327	D001729	2
Q000327	D001731	2
Q000327	D001730	1
Q000328	D001745	3
Q000328	D001747	1
Q000329	D001746	3
Q000329	D001745	2
Q000329	D001747	1
Q000330	D001745	2
Q000330	D001747	2
Q000330	D001746	1
Q000331	D001761	3
Q000331	D001763	1
Q000332	D001762	3
Q000332	D001761	2
Q000332	D001763	1
Q000333	D001761	2
Q000333	D001763	2
Q000333	D001762	1
Q000334	D001777	3
Q000334	D001779	1
Q000335	D001778	3
Q000335	D001777	2
Q000335	D001779	1
Q000336	D001777	2
Q000336	D001779	2
Q000336	D001778	1
Q000337	D001793	3
Q000337	D001795	1
Q000338	D001794	3
Q000338	D001793	2
Q000338	D001795	1
Q000339	D001793	2
Q000339	D001795	2
Q000339	D001794	1
Q000340	D001809	3
Q000340	D001811	1
Q000341	D001810	3
Q000341	D001809	2
Q000341	D001811	1
Q000342	D001809	2
Q000342	D001811	2
Q000342	D001810	1
Q000343	D001825	3
Q000343	D001827	1
Q000344	D001826	3
Q000344	D001825	2
Q000344	D001827	1
Q000345	D001825	2
Q000345	D001827	2
Q000345	D001826	1
Q000346	D001841	3
Q000346	D001843	1
Q000347	D001842	3
Q000347	D001841	2
Q000347	D001843	1
Q000348	D001841	2
Q000348	D001843	2
Q000348	D001842	1
Q000349	D001857	3
Q000349	D001859	1
Q000350	D001858	3
Q000350	D001857	2
Q000350	D001859	1
Q000351	D001857	2
Q000351	D001859	2
Q000351	D001858	1
Q000352	D001873	3
Q000352	D001875	1
Q000353	D001874	3
Q000353	D001873	2
Q000353	D001875	1
Q000354	D001873	2
Q000354	D001875	2
Q000354	D001874	1
Q000355	D001889	3
Q000355	D001891	1
Q000356	D001890	3
Q000356	D001889	2
Q000356	D001891	1
Q000357	D001889	2
Q000357	D001891	2
Q000357	D001890	1
Q000358	D001905	3
Q000358	D001907	1
Q000359	D001906	3
Q000359	D001905	2
Q000359	D001907	1
Q000360	D001905	2
Q000360	D001907	2
Q000360	D001906	1
Q000361	D001921	3
Q000361	D001923	1
Q000362	D001922	3
Q000362	D001921	2
Q000362	D001923	1
Q000363	D001921	2
Q000363	D001923	2
Q000363	D001922	1
Q000364	D001937	3
Q000364	D001939	1
Q000365	D001938	3
Q000365	D001937	2
Q000365	D001939	1
Q000366	D001937	2
Q000366	D001939	2
Q000366	D001938	1
Q000367	D001953	3
Q000367	D001955	1
Q000368	D001954	3
Q000368	D001953	2
Q000368	D001955	1
Q000369	D001953	2
Q000369	D001955	2
Q000369	D001954	1
Q000370	D001969	3
Q000370	D001971	1
Q000371	D001970	3
Q000371	D001969	2
Q000371	D001971	1
Q000372	D001969	2
Q000372	D001971	2
Q000372	D001970	1
Q000373	D001985	3
Q000373	D001987	1
Q000374	D001986	3
Q000374	D001985	2
Q000374	D001987	1
Q000375	D001985	2
Q000375	D001987	2
Q000375	D001986	1
Q000376	D002001	3
Q000376	D002003	1
Q000377	D002002	3
Q000377	D002001	2
Q000377	D002003	1
Q000378	D002001	2
Q000378	D002003	2
Q000378	D002002	1
Q000379	D002017	3
Q000379	D002019	1
Q000380	D002018	3
Q000380	D002017	2
Q000380	D002019	1
Q000381	D002017	2
Q000381	D002019	2
Q000381	D002018	1
Q000382	D002033	3
Q000382	D002035	1
Q000383	D002034	3
Q000383	D002033	2
Q000383	D002035	1
Q000384	D002033	2
Q000384	D002035	2
Q000384	D002034	1
Q000385	D002049	3
Q000385	D002051	1
Q000386	D002050	3
Q000386	D002049	2
Q000386	D002051	1
Q000387	D002049	2
Q000387	D002051	2
Q000387	D002050	1
Q000388	D002065	3
Q000388	D002067	1
Q000389	D002066	3
Q000389	D002065	2
Q000389	D002067	1
Q000390	D002065	2
Q000390	D002067	2
Q000390	D002066	1
Q000391	D002081	3
Q000391	D002083	1
Q000392	D002082	3
Q000392	D002081	2
Q000392	D002083	1
Q000393	D002081	2
Q000393	D002083	2
Q000393	D002082	1
Q000394	D002097	3
Q000394	D002099	1
Q000395	D002098	3
Q000395	D002097	2
Q000395	D002099	1
Q000396	D002097	2
Q000396	D002099	2
Q000396	D002098	1
Q000397	D002113	3
Q000397	D002115	1
Q000398	D002114	3
Q000398	D002113	2
Q000398	D002115	1
Q000399	D002113	2
Q000399	D002115	2
Q000399	D002114	1
Q000400	D002129	3
Q000400	D002131	1
Q000401	D002130	3
Q000401	D002129	2
Q000401	D002131	1
Q000402	D002129	2
Q000402	D002131	2
Q000402	D002130	1
Q000403	D002145	3
Q000403	D002147	1
Q000404	D002146	3
Q000404	D002145	2
Q000404	D002147	1
Q000405	D002145	2
Q000405	D002147	2
Q000405	D002146	1
Q000406	D002161	3
Q000406	D002163	1
Q000407	D002162	3
Q000407	D002161	2
Q000407	D002163	1
Q000408	D002161	2
Q000408	D002163	2
Q000408	D002162	1
Q000409	D002177	3
Q000409	D002179	1
Q000410	D002178	3
Q000410	D002177	2
Q000410	D002179	1
Q000411	D002177	2
Q000411	D002179	2
Q000411	D002178	1
Q000412	D002193	3
Q000412	D002195	1
Q000413	D002194	3
Q000413	D002193	2
Q000413	D002195	1
Q000414	D002193	2
Q000414	D002195	2
Q000414	D002194	1
Q000415	D002209	3
Q000415	D002211	1
Q000416	D002210	3
Q000416	D002209	2
Q000416	D002211	1
Q000417	D002209	2
Q000417	D002211	2
Q000417	D002210	1
Q000418	D002225	3
Q000418	D002227	1
Q000419	D002226	3
Q000419	D002225	2
Q000419	D002227	1
Q000420	D002225	2
Q000420	D002227	2
Q000420	D002226	1
Q000421	D002241	3
Q000421	D002243	1
Q000422	D002242	3
Q000422	D002241	2
Q000422	D002243	1
Q000423	D002241	2
Q000423	D002243	2
Q000423	D002242	1
Q000424	D002257	3
Q000424	D002259	1
Q000425	D002258	3
Q000425	D002257	2
Q000425	D002259	1
Q000426	D002257	2
Q000426	D002259	2
Q000426	D002258	1
Q000427	D002273	3
Q000427	D002275	1
Q000428	D002274	3
Q000428	D002273	2
Q000428	D002275	1
Q000429	D002273	2
Q000429	D002275	2
Q000429	D002274	1
Q000430	D002289	3
Q000430	D002291	1
Q000431	D002290	3
Q000431	D002289	2
Q000431	D002291	1
Q000432	D002289	2
Q000432	D002291	2
Q000432	D002290	1
Q000433	D002305	3
Q000433	D002307	1
Q000434	D002306	3
Q000434	D002305	2
Q000434	D002307	1
Q000435	D002305	2
Q000435	D002307	2
Q000435	D002306	1
Q000436	D002321	3
Q000436	D002323	1
Q000437	D002322	3
Q000437	D002321	2
Q000437	D002323	1
Q000438	D002321	2
Q000438	D002323	2
Q000438	D002322	1
Q000439	D002337	3
Q000439	D002339	1
Q000440	D002338	3
Q000440	D002337	2
Q000440	D002339	1
Q000441	D002337	2
Q000441	D002339	2
Q000441	D002338	1
Q000442	D002353	3
Q000442	D002355	1
Q000443	D002354	3
Q000443	D002353	2
Q000443	D002355	1
Q000444	D002353	2
Q000444	D002355	2
Q000444	D002354	1
Q000445	D002369	3
Q000445	D002371	1
Q000446	D002370	3
Q000446	D002369	2
Q000446	D002371	1
Q000447	D002369	2
Q000447	D002371	2
Q000447	D002370	1
Q000448	D002385	3
Q000448	D002387	1
Q000449	D002386	3
Q000449	D002385	2
Q000449	D002387	1
Q000450	D002385	2
Q000450	D002387	2
Q000450	D002386	1
Q000451	D002401	3
Q000451	D002403	1
Q000452	D002402	3
Q000452	D002401	2
Q000452	D002403	1
Q000453	D002401	2
Q000453	D002403	2
Q000453	D002402	1
Q000454	D002417	3
Q000454	D002419	1
Q000455	D002418	3
Q000455	D002417	2
Q000455	D002419	1
Q000456	D002417	2
Q000456	D002419	2
Q000456	D002418	1
Q000457	D002433	3
Q000457	D002435	1
Q000458	D002434	3
Q000458	D002433	2
Q000458	D002435	1
Q000459	D002433	2
Q000459	D002435	2
Q000459	D002434	1
Q000460	D002449	3
Q000460	D002451	1
Q000461	D002450	3
Q000461	D002449	2
Q000461	D002451	1
Q000462	D002449	2
Q000462	D002451	2
Q000462	D002450	1
Q000463	D002465	3
Q000463	D002467	1
Q000464	D002466	3
Q000464	D002465	2
Q000464	D002467	1
Q000465	D002465	2
Q000465	D002467	2
Q000465	D002466	1
Q000466	D002481	3
Q000466	D002483	1
Q000467	D002482	3
Q000467	D002481	2
Q000467	D002483	1
Q000468	D002481	2
Q000468	D002483	2
Q000468	D002482	1
Q000469	D002497	3
Q000469	D002499	1
Q000470	D002498	3
Q000470	D002497	2
Q000470	D002499	1
Q000471	D002497	2
Q000471	D002499	2
Q000471	D002498	1
Q000472	D002513	3
Q000472	D002515	1
Q000473	D002514	3
Q000473	D002513	2
Q000473	D002515	1
Q000474	D002513	2
Q000474	D002515	2
Q000474	D002514	1
Q000475	D002529	3
Q000475	D002531	1
Q000476	D002530	3
Q000476	D002529	2
Q000476	D002531	1
Q000477	D002529	2
